tag,category,count,insert_mode
"fine (futagohime), fushigiboshi no futago hime, 1girl, loli, red eyes, red hair, long hair, twintails",4,270,phrase
"fine (symphogear), senki zesshou symphogear, 1girl, yellow eyes, eyebrows, blonde hair, very long hair, long hair, parted bangs, large breasts, medium breasts, cleavage, collarbone, hime cut, lipstick",4,90,phrase
"fine falke, original",4,34,phrase
"fine motion's bodyguard captain, umamusume",4,52,phrase
"fine motion (casual) (umamusume), umamusume, 1girl, horse_ears, animal_ears, horse_girl, hair_ornament, hair_between_eyes, shirt, brown_hair, green_eyes, solo, skirt, green_skirt, long_sleeves, white_shirt, multicolored_hair, white_hair, casual, belt",4,121,phrase
"fine motion (titania) (umamusume), umamusume, 1girl, horse girl, horse ears, horse tail, hair between eyes, green eyes, yellow eyes, brown hair, white hair, short hair, folded ponytail, medium breasts, collarbone, wedding dress, necklace, tiara",4,53,phrase
"fine motion (umamusume), umamusume, 1girl, horse girl, horse ears, horse tail, hair between eyes, green eyes, brown hair, white hair, single hair bun, two-tone hair, streaked hair, short hair, clover hair ornament, long sleeves",4,1389,phrase
"finizen, pokemon",4,50,phrase
"finland (hetalia), axis powers hetalia, 1boy, purple eyes, blonde hair",4,160,phrase
"finn (fire emblem), fire emblem, 1boy, blue eyes, blue hair, boots, gloves, cape, belt, spear, horse",4,74,phrase
"finn (star wars), star wars",4,39,phrase
"finn ames, mashle, 1boy, yellow eyes, short hair, black hair, blonde hair, two-tone hair, split-color hair, parted bangs, freckles, black robe, collared shirt, white shirt, black robe, red necktie, long sleeves, facial mark",4,94,phrase
"finn the human, adventure time, 1boy, mature male, beard, blue eyes, thick eyebrows, blonde hair, short hair, long hair, bara, muscular male, single mechanical arm, large pectorals",4,278,phrase
"finnel (ar tonelico), ar tonelico, 1girl, purple eyes, purple hair, long hair, twintails, hair ornament, flat chest, bow, detached sleeves, lace",4,100,phrase
"finneon, pokemon",4,182,phrase
"fino bloodstone, yuusha ni narenakatta ore wa shibushibu shuushoku wo ketsui shimashita., 1girl, pointy ears, fang, blue eyes, blonde hair, long hair, ahoge, ponytail, large breasts, cleavage",4,43,phrase
"fio-chan (big o pants), original, 1girl, bird ears, bird tail, red eyes, hair between eyes, red hair, long hair, large breasts, bird legs, black wings, black wings, winged arms, harpy, talons, winged arms, black feathers",4,112,phrase
"fio (nier), nier (series), 1girl, grey eyes, long hair, blonde hair, twintails, bangs pinned back, bandaged leg, white dress, sleeveless dress, black collar, bare shoulders, bloomers",4,94,phrase
"fio germi, metal slug, 1girl, brown eyes, glasses, round eyewear, brown hair, long hair, ponytail, large breasts, navel, baseball cap, short shorts, crop top, midriff",4,625,phrase
"fio piccolo, kurenai no buta, 1girl, blue eyes, red hair, brown hair, long hair, ponytail, medium breasts",4,53,phrase
"fiona (border break), border break, 1girl, lips, green eyes, green hair, long hair, large breasts, cleavage, pencil skirt, zettai ryouiki, miniskirt, bridal gauntlets",4,48,phrase
"fiona (xenoblade), xenoblade chronicles (series), 1girl, horns, yellow eyes, brown eyes, purple hair, single hair bun, short hair, white gloves, mitsudomoe (shape)",4,40,phrase
"fiona (zoids), zoids, 1girl, red eyes, blonde hair, long hair, ponytail, forehead mark",4,99,phrase
"fiona belli, demento, 1girl, blue eyes, blonde hair, short hair, ponytail, large breasts, choker",4,119,phrase
"fiona fox, sonic (series), 1girl, furry female, fox girl, hand up, fox ears, fox tail, fang, teeth, blue eyes, v-shaped eyebrows, red hair, short hair, sidelocks, large breasts, medium breasts, thighs, navel, collarbone, black pants, black gloves, fingerless gloves, torn pants, black shirt, multiple belts, bare shoulders, body fur, red fur, snout, two-tone fur, stomach, crop top",4,35,phrase
"fiona frost, spy x family, 1girl, hair over one eye, colored eyelashes, short hair, white hair, grey hair, large breasts, navel",4,280,phrase
"fiona gilman, identity v, 1girl, horns, purple eyes, long hair, single braid, hair over shoulder, cleavage, hood up, earrings, facial mark",4,44,phrase
"fiona gilman (crimson), identity_v, red_hair, 1girl, breasts, solo, dress, horns, red_nails, cleavage, black_horns, puffy_sleeves, long_sleeves, red_eyes, juliet_sleeves, black_dress, multicolored_hair, white_streaks, streaked_hair, black_bow, side_ponytail",4,18,phrase
"fiona mayfield, arcana heart, 1girl, maid, maid, maid headdress, blue eyes, purple eyes, brown hair, long hair, short hair, twintails, apron, sword, gauntlets",4,45,phrase
"fionn mac cumhaill (fate/grand order), fate/grand order, 1boy, hair between eyes, green eyes, blonde hair, long hair, very long hair, fingerless gloves, black gloves, bare shoulders",4,139,phrase
"fionna the human girl, adventure time",4,147,phrase
"fiora (fire emblem), fire emblem, 1girl, blue eyes, long hair, aqua hair, parted bangs, hair flower, medium breasts, fingerless gloves",4,94,phrase
"fiora (league of legends), league of legends, 1girl, lips, blue eyes, hair over one eye, short hair, black hair, red hair, two-tone hair, large breasts",4,237,phrase
"fiora (xenoblade), xenoblade chronicles (series), 1girl, green eyes, blonde hair, long hair, short hair, medium breasts, large breasts, cyborg",4,460,phrase
"fiora ariete, original, 1girl, animal ears, fang, red eyes, hair between eyes, pink hair, very long hair, collarbone, white capelet, leotard under clothes, purple leotard, red dress, brown gloves, shoes, boots, black choker, bare shoulders, criss-cross halter",4,68,phrase
"fiora pellerin, black survival, 1girl, green eyes, hair between eyes, brown hair, very long hair, long hair, ponytail, hair ribbon, medium breasts, large breasts, white pants, blue jacket, long sleeves, rapier",4,50,phrase
"fiorayne (monster hunter), monster hunter (series), 1girl, hair between eyes, purple eyes, short hair, brown hair, black hair, large breasts, thighs, gauntlets, breastplate, pauldrons",4,105,phrase
"fiore brunelli, star ocean, 1girl, green lips, cat tail, yellow eyes, green hair, long hair, twintails, hair ornament, large breasts, witch hat, revealing clothes, black gloves, argyle clothes, elbow gloves, black headwear, black skirt, argyle cutout, twin drills, lipstick, microskirt, miniskirt",4,100,phrase
"fiore forvedge yggdmillennia, fate/apocrypha, 1girl, blue eyes, long hair, brown hair, large breasts, white jacket",4,48,phrase
"fir (fire emblem), fire emblem, 1girl, purple eyes, purple hair, long hair, black hair, ponytail, hair ribbon, medium breasts, fingerless gloves",4,204,phrase
"fire bird (skeledirge), pokemon",4,79,phrase
"fire emblem (tiger & bunny), tiger & bunny, 1boy, dark-skinned male, lips, blue eyes, cape, mask, superhero costume, superhero costume, spandex",4,119,phrase
"fire keeper, dark souls (series), 1girl, lips, eye mask, long hair, blonde hair, medium breasts, large breasts, mask, cloak, capelet, necklace, blindfold",4,390,phrase
"fire kirby, kirby (series)",4,43,phrase
"fire man, mega man (classic)",4,71,phrase
"fire miku (project voltage), pokemon",4,58,phrase
"fire peach, mario (series), 1girl, blue eyes, blonde hair, long hair, ponytail, elbow gloves, white dress, white gloves, puffy short sleeves, earrings, sphere earrings, crown, brooch, mini crown",4,33,phrase
"fire valkyrie, macross",4,60,phrase
"firefly (ar-26710) (honkai: star rail), honkai: star rail, 1girl, purple eyes, hair between eyes, two-tone eyes, grey hair, long hair, very long hair, white hair, black hairband, medium breasts, pilot suit, pilot suit, white bodysuit",4,184,phrase
"firefly (honkai: star rail), honkai (series), 1girl, hair between eyes, purple eyes, grey hair, long hair, black hairband, hair intakes, white shirt, black jacket, long sleeves",4,7188,phrase
"firefly (jepella rebellion) (honkai: star rail), honkai: star rail, 1girl, purple eyes, two-tone eyes, hair between eyes, grey hair, long hair, very long hair, black hairband, hair ornament, black jacket, black gloves, pencil skirt",4,75,phrase
"firefly (stella sora), stella_sora, scarf, ahoge, blue_scarf, 1girl, brown_hair, covered_mouth, solo, sleeves_past_wrists, hair_between_eyes, red_eyes, sleeves_past_fingers, short_hair, shorts, clothing_cutout, camera, long_hair",4,33,phrase
"firefox-tan, firefox, 1girl, fox ears, fox tail, blue eyes, long hair, blonde hair, orange hair, orange footwear, thighhighs, detached sleeves, long sleeves",4,67,phrase
"firelight ekko, league of legends, 1boy, dark-skinned male, brown eyes, short hair, official alternate hairstyle, white hair, grey hair, dreadlocks, facial mark",4,171,phrase
"firenze (stella sora), stella_sora, grey_hair, 1girl, breasts, multicolored_hair, solo, large_breasts, streaked_hair, long_hair, green_eyes, cleavage, hairband, green_hair, wavy_hair, black_hairband, long_sleeves, shirt",4,78,phrase
"firewatch (arknights), arknights, 1girl, horns, green eyes, hair between eyes, long hair, grey hair, sidelocks, ponytail, small breasts, black gloves, reindeer antlers, antlers, deer antlers",4,182,phrase
"firewatch (wilted cypress) (arknights), arknights, 1girl, horns, green eyes, hair between eyes, yellow eyes, long hair, grey hair, white hair, sidelocks, hair flaps, small breasts, black gloves, black thighhighs, sleeveless dress, white dress, bare shoulders, antlers, reindeer antlers, deer antlers, quiver, bare arms",4,47,phrase
"firewhistle (arknights), arknights, 1girl, yellow eyes, brown hair, short hair with long locks, long hair, hairclip, large breasts, thighs, thigh strap, navel, black pants, open jacket, bare shoulders, off shoulder, long sleeves, midriff, stomach, single pantsleg, leggings, black bandeau, dog tags, black tube top",4,42,phrase
"firion, final fantasy, 1boy, brown eyes, long hair, white hair, grey hair, ponytail, bandana",4,325,phrase
"firis mistlud, atelier (series), 1girl, green eyes, brown hair, long hair, braid, parted bangs, hair ornament, medium breasts, detached sleeves",4,230,phrase
"firo (shiboritoranaide onna shounin-san), shiboritoranaide onna shounin-san, 1girl, animal ear fluff, wolf ears, fang, wolf tail, fox ears, blue eyes, hair between eyes, red hair, long hair, large breasts, navel, elbow gloves, black gloves, fingerless gloves, black shorts, bare shoulders, crop top, midriff, heart",4,34,phrase
"firo prochainezo, baccano!",4,82,phrase
"first-chan (loalo), original, 1girl, maid, maid headdress, maid, pointy ears, red eyes, hair over one eye, one eye covered, aqua hair, long hair, blue hair, drill hair, twintails, black gloves, red necktie, twin drills",4,40,phrase
"first armor x (mega man), mega man (series), 1boy, green eyes, armor, helmet, white armor, shoulder armor, white helmet, android, forehead jewel, arm cannon, blue helmet",4,31,phrase
"first sinner (hollow knight), hollow_knight, 1girl",4,17,phrase
"fischl (ein immernachtstraum) (genshin impact), genshin impact, 1girl, red eyes, hair over one eye, eyepatch, blonde hair, long hair, hair ribbon, purple dress, white thighhighs, bare shoulders, detached sleeves, long sleeves, tiara",4,380,phrase
"fischl (genshin impact), genshin impact, 1girl, green eyes, hair over one eye, eyepatch, blonde hair, long hair, two side up, hair ribbon, medium breasts, small breasts, bare shoulders",4,3662,phrase
"fish eye (sailor moon), bishoujo senshi sailor moon, 1boy, pointy ears, blue eyes, blue hair, low-tied long hair, long hair, aqua hair, earrings, facial mark",4,62,phrase
"fish sprite (pokemon), pokemon",4,44,phrase
"fish stick (splatoon), splatoon (series)",4,31,phrase
"five-seven (adventures of fenfen) (girls' frontline), girls' frontline, 1girl, brown eyes, yellow eyes, white hair, long hair, grey hair, twintails, ahoge, hair ribbon, hair ornament, small breasts, white dress, white thighhighs, sleeveless dress, side-tie panties, black panties, skindentation, black ribbon, bare shoulders, black bow, ferret, animal",4,55,phrase
"five-seven (cruise queen) (girls' frontline), girls' frontline, 1girl, brown eyes, hair between eyes, yellow eyes, very long hair, white hair, grey hair, ponytail, sidelocks, hair ornament, hair ribbon, large breasts, cleavage, thighs, navel, thigh strap, black bikini, side-tie bikini bottom, front-tie bikini top, skindentation, detached collar, bare shoulders, black ribbon, bowtie, stomach",4,116,phrase
"five-seven (girls' frontline), girls' frontline, 1girl, brown eyes, hair between eyes, yellow eyes, white hair, very long hair, grey hair, ponytail, sidelocks, high ponytail, hair ornament, hair ribbon, large breasts, cleavage, bare shoulders, black ribbon",4,502,phrase
"five (drag-on dragoon), drag-on dragoon, 1girl, yellow eyes, mole under eye, blonde hair, long hair, very long hair, braided bangs, single braid, large breasts, cleavage, center opening, forehead mark, cross",4,56,phrase
"five pebbles, rain world",4,43,phrase
"fiz (fizintine), original, 1girl, rabbit ears, rabbit tail, animal ear fluff, black eyes, pink hair, single hair bun, large breasts, ass, navel, white thighhighs, rabbit girl, heart",4,187,phrase
"fizz (league of legends), league of legends, 1girl, monster girl, blue skin, fang, tail, green eyes, blue eyes, tentacle hair, long hair, blue hair, large breasts, cleavage, navel, yordle, shark, tentacles, trident",4,53,phrase
"fjorm (bridal) (fire emblem), fire emblem, 1girl, blue eyes, blonde hair, short hair, blue hair, gradient hair, hair flower, medium breasts, collarbone, wedding dress, white dress, bridal veil, strapless dress, bare shoulders, earrings, bride, crown, bride, feather trim",4,66,phrase
"fjorm (fire emblem), fire emblem, 1girl, blue eyes, blonde hair, short hair, gradient hair, blue hair, hair flower, medium breasts, earrings, crown",4,530,phrase
"fjorm (ice ascendant) (fire emblem), fire emblem, 1girl, blue eyes, blonde hair, blue hair, long hair, gradient hair, official alternate hairstyle, two-tone hair, official alternate hair length, medium hair, sidelocks, hair flower, shoulder armor, armored dress, cape, long sleeves, earrings, breastplate, tiara, feather trim, crown, fur trim",4,34,phrase
"fjorm (ninja) (fire emblem), fire emblem, 1girl, blue eyes, v-shaped eyebrows, blonde hair, short hair, gradient hair, blue hair, green hair, ahoge, hair flower, hairband, medium breasts, large breasts, cleavage, sweat, japanese clothes, white gloves, elbow gloves, mask on head, white mask, white thighhighs, short shorts, white cape, japanese clothes, white shorts, bare shoulders, earrings, ninja, ninja, shuriken, kunai, sandals, zouri",4,41,phrase
"fjorm (summer) (fire emblem), fire emblem, 1girl, blue eyes, blonde hair, short hair, blue hair, gradient hair, hair flower, medium breasts, large breasts, cleavage, thighs, navel, blue bikini, bare shoulders, earrings, sandals, criss-cross halter",4,41,phrase
"fl-chan, fl studio, 1girl, orange eyes, red eyes, green hair, short hair, ahoge, headphones, boots, elbow gloves, fingerless gloves, piano print, headset",4,113,phrase
"flaaffy, pokemon, no humans, black eyes, pokemon (creature)",4,219,phrase
"flabebe, pokemon, no humans, blonde hair, pokemon (creature)",4,143,phrase
"flabebe (red), pokemon",4,72,phrase
"fladramon, digimon, no humans, blue skin, white skin, two-tone skin, single horn, tail, red eyes, armor, armor, helmet, digimon (creature), claws",4,69,phrase
"flag custom, gundam, no humans, mecha",4,40,phrase
"flaky (happy tree friends), happy tree friends, 1girl, red eyes, hair between eyes, red hair, long hair, very long hair",4,112,phrase
"flambae (dispatch), dispatch, 1boy, pectorals, long_hair, solo, muscular, bodysuit, bare_pectorals, sideburns, ponytail, long_sleeves, black_hair, muscular_male, chest_hair, bara, closed_mouth",4,54,phrase
"flamberge (kirby), kirby (series)",4,125,phrase
"flame lord (elsword), elsword, 1girl, red eyes, hair between eyes, hair over one eye, red hair, very long hair, long hair, large breasts, medium breasts, cleavage, black gloves, white coat, choker, single pantsleg",4,37,phrase
"flame master nyx, queen's blade, 1girl, green eyes, red eyes, aqua eyes, hair over one eye, brown hair, long hair, ahoge, large breasts, cleavage, elbow gloves, purple gloves, red dress, bare shoulders, choker, off shoulder, tentacles, one-eyed, bustier, garter straps, feathers, side slit, staff, heart",4,93,phrase
"flame princess, adventure time, 1girl, orange skin, red eyes, orange eyes, long hair, red hair, forehead jewel",4,59,phrase
"flame toys windblade, transformers, 1girl, blue eyes, medium breasts, large breasts, thick thighs, red panties, mechanical wings, mechanical wings, robot girl, autobot, mecha, humanoid robot",4,34,phrase
"flamebringer (arknights), arknights, 1boy, pointy ears, horns, single horn, orange eyes, hair between eyes, short hair, black hair, black shirt, black nails, oripathy lesion (arknights), bishounen, material growth, toned male, infection monitor (arknights)",4,305,phrase
"flametail (arknights), arknights, 1girl, squirrel girl, squirrel ears, squirrel tail, brown eyes, red eyes, hair between eyes, red hair, long hair, very long hair, thigh strap, armor, gambeson, gauntlets",4,398,phrase
"flametail (sport for all) (arknights), arknights, 1girl, squirrel girl, squirrel ears, squirrel tail, red eyes, orange eyes, red hair, long hair, very long hair, medium breasts, thighs, navel, thigh strap, orange shirt, white shorts, short shorts, short sleeves, black choker, midriff, crop top, head-mounted display, stomach",4,93,phrase
"flamie speeddraw, rokka no yuusha, 1girl, blue eyes, eyepatch, white hair, short hair, hair flower, hairband, medium breasts, navel, cape, gloves, pantyhose, midriff",4,144,phrase
"flamigo, pokemon",4,84,phrase
"flamme (sousou no frieren), sousou no frieren, 1girl, green eyes, hair over one eye, long hair, orange hair, very long hair, brown hair, red hair, single braid, braided ponytail, medium breasts, white dress",4,110,phrase
"flammie, seiken densetsu",4,37,phrase
"flan-maman (goma), touhou, 1girl, red eyes, blonde hair, long hair, large breasts, apron, wings, wings, one side up",4,85,phrase
"flandre (azur lane), azur lane, 1girl, purple eyes, grey eyes, hair between eyes, white hair, long hair, grey hair, low twintails, hair bow, hair ornament, hair ribbon, small breasts, thighs, black thighhighs, hat, white leotard, white coat, black headwear, long sleeves, garter straps",4,76,phrase
"flandre (kaibutsu oujo), kaibutsu oujo, 1girl, maid, loli, maid, purple eyes, short hair, blonde hair",4,37,phrase
"flandre scarlet, touhou, 1girl, red eyes, blonde hair, short hair, side ponytail, mob cap, wings, wings, one side up, crystal",4,51774,phrase
"flandre scarlet (vampire pursuing the hunter's vacation), touhou, scrunchie, hair_flower, hair_ornament, 1girl, flower, red_flower, breasts, alternate_hair_color, swimsuit, white_shirt, purple_hair, solo, bikini, shirt, hair_scrunchie, wings, alternate_costume, crystal_wings, one_side_up",4,14,phrase
"flannery (pokemon), pokemon, 1girl, red eyes, red hair, long hair, ponytail, large breasts, cleavage, navel, crop top, midriff",4,517,phrase
"flapple, pokemon",4,79,phrase
"flappy (futari wa precure), futari wa precure splash star",4,36,phrase
"flare earlgrande gioral, kaifuku jutsushi no yarinaoshi ~sokushi mahou to skill copy no chouetsu heal~, 1girl, green eyes, hair between eyes, pink hair, long hair, hair ornament, large breasts, cleavage, thighs, thick thighs, navel, long sleeves",4,49,phrase
"flareon, pokemon, no humans, pokemon (creature)",4,1271,phrase
"flareze (porforever), original",4,61,phrase
"flash man, mega man (classic)",4,99,phrase
"flasher (azur lane), azur lane, 1girl, maid, maid headdress, maid, purple eyes, hair between eyes, purple hair, long hair, twintails, long bangs, two side up, ahoge, feet, white apron, long sleeves, hood up, toes, stuffed fish, bird",4,37,phrase
"flat escardos, fate (series)",4,43,phrase
"flatwoods monster, touhou",4,46,phrase
"flavia (fire emblem), fire emblem, 1girl, dark-skinned female, lips, purple eyes, blonde hair, long hair, tied hair, ponytail, sidelocks, hair ornament, medium breasts, white dress, gold footwear, thighhighs, armored boots, elbow gloves, short dress, bare shoulders, feather trim, gold trim",4,34,phrase
"flay allster, gundam, 1girl, blue eyes, red hair, long hair, ponytail, large breasts, military uniform, military uniform",4,127,phrase
"flayn (fire emblem), fire emblem, 1girl, green eyes, green hair, long hair, drill hair, hair ornament, garreg mach monastery uniform, uniform, garreg mach monastery uniform, long sleeves",4,570,phrase
"flayn (halloween) (fire emblem), fire emblem, 1girl, cat girl, cat tail, cat ears, green eyes, green hair, long hair, halloween costume, cat paws, twin drills, halloween costume",4,45,phrase
"flea (chrono trigger), chrono trigger, 1girl, pointy ears, purple eyes, pink hair, long hair, red hair, single braid, large breasts, cleavage, cape, earrings",4,76,phrase
"flea (hollow knight), hollow_knight, 1girl, red_cloak, cloak, mask, horned_mask, solo, long_hair, white_mask, very_long_hair, mask_on_head, humanization, leotard, black_eyes, breasts, large_breasts",4,126,phrase
"fleki, dungeon meshi, 1girl, notched ear, purple eyes, long hair, blonde hair, elf",4,303,phrase
"fletcher (kancolle), kantai collection, 1girl, blue eyes, purple eyes, long hair, blonde hair, star hair ornament, double bun, hairband, large breasts, cleavage, serafuku, blue shirt, serafuku, off shoulder, white sailor collar, yellow neckerchief",4,1718,phrase
"fletcher mk ii (kancolle), kantai collection, 1girl, blue eyes, purple eyes, long hair, blonde hair, star hair ornament, double bun, hairband, large breasts, cleavage, serafuku, blue shirt, serafuku, pleated skirt, off shoulder, white sailor collar, yellow neckerchief",4,326,phrase
"fletchinder, pokemon",4,56,phrase
"fletchling, pokemon, no humans, pokemon (creature), bird",4,314,phrase
"fleur (personal ami), original, 1girl, mole under mouth, pointy ears, lips, purple eyes, long hair, two-tone hair, red hair, brown hair, streaked hair, black hair, small breasts, mole on breast, mole on thigh, navel, body freckles, petite, cleft of venus",4,51,phrase
"fleur blanc, eureka seven (series), 1girl, blue eyes, blonde hair, short hair, hair bow",4,40,phrase
"fleurdelis (yu-gi-oh!), yu-gi-oh!, 1girl, purple eyes, hair over one eye, very long hair, purple hair, large breasts, horned headwear, detached sleeves, bare shoulders, duel monster, jingasa",4,117,phrase
"flicky (character), sonic (series)",4,51,phrase
"flik (suikoden), gensou suikoden",4,55,phrase
"flins (genshin fes 2026) (genshin impact), genshin_impact, 1girl",4,45,phrase
"flins (parallels meet) (genshin impact), genshin_impact, 1girl",4,10,phrase
"flint (arknights), arknights, 1girl, dark-skinned female, blue eyes, hair between eyes, long hair, black hair, medium breasts, navel, neck tattoo, bandaid on face, midriff",4,157,phrase
"flint (girls und panzer), girls und panzer, 1girl, blue eyes, long hair, grey hair, ooarai naval school uniform, dixie cup hat, white headwear, white shirt, ooarai naval school uniform, pleated skirt, long sleeves, sailor collar, sailor, blouse, sailor",4,429,phrase
"flint (mother 3), mother (game)",4,46,phrase
"flint (pokemon), pokemon, 1boy, upper teeth only, tongue, brown eyes, grey eyes, red hair, short hair, yellow shirt, collared shirt, black choker, afro, pectorals, abs, wristband",4,230,phrase
"flippy (happy tree friends), happy tree friends, 1boy, yellow eyes, green hair, military uniform, military uniform, dog tags",4,96,phrase
"flit asuno, gundam",4,65,phrase
"floating fortress (kancolle), kantai collection, 1girl, white skin, pale skin, horns, red eyes, long hair, white hair",4,289,phrase
"floatzel, pokemon, no humans, fang, two tails, black eyes, brown eyes, pokemon (creature)",4,117,phrase
"floch forster, shingeki no kyojin, 1boy, yellow eyes, short hair, red hair, brown hair, paradis military uniform, military uniform, collared shirt, survey corps (emblem)",4,40,phrase
"flocke cerha, atelier (series)",4,32,phrase
"floe (simoun), simoun, 1girl, blue eyes, long hair, blonde hair, medium breasts, feet, thighhighs, tentacles",4,77,phrase
"floette, pokemon, no humans, black eyes, pokemon (creature)",4,200,phrase
"floette (eternal), pokemon, no humans, pokemon (creature)",4,36,phrase
"floette (red), pokemon",4,66,phrase
"flonne, disgaea, 1girl, demon tail, demon girl, pointy ears, red eyes, blue eyes, blonde hair, long hair, very long hair, red leotard",4,758,phrase
"flonne (fallen angel), disgaea, 1girl, demon tail, demon girl, demon wings, demon wings, pointy ears, fang, tail bow, red eyes, blonde hair, long hair, very long hair, bare legs, red leotard, red leotard, detached sleeves, red wings, bat wings",4,385,phrase
"flora (claymore), claymore (series), 1girl, blonde hair, long hair, armor, cape, sword",4,31,phrase
"flora (dq5), dragon quest, 1girl, blue eyes, blue hair, long hair, hair bow, large breasts, pink bow, earrings, half updo",4,354,phrase
"flora (fire emblem), fire emblem, 1girl, maid, maid headdress, maid, maid apron, grey eyes, blue eyes, blue hair, long hair, twintails",4,251,phrase
"flora (rariatto), original",4,31,phrase
"floragato, pokemon, fang, cat ears, red eyes, pink eyes, pokemon (creature), claws, green fur, two-tone fur, animal hands, body fur, furry, animal nose",4,256,phrase
"floren (xenoblade), xenoblade chronicles (series), 1boy, purple eyes, pink eyes, blue eyes, short hair, blue hair, green hair, ahoge, green leotard, green leotard, black gloves, green sleeves, bare shoulders",4,35,phrase
"florence (neural cloud), girls' frontline neural cloud, 1girl, blue eyes, hair between eyes, heart-shaped pupils, long hair, messy hair, grey hair, blue hair, twintails, two side up, ahoge, small breasts, medium breasts, nurse cap, white thighhighs, black gloves, white dress, black panties, nurse, nurse, id card, pill",4,111,phrase
"florence nightingale (chaldea lifesavers) (fate), fate/grand order, 1girl, red eyes, pink hair, long hair, folded ponytail, braid, braided ponytail, large breasts, huge breasts, underboob, cleavage, thighs, navel, collarbone, yellow bikini, side-tie bikini bottom, bare shoulders",4,123,phrase
"florence nightingale (divine princess of the storm) (fate), fate/grand order, 1girl, red eyes, pink eyes, bandage over one eye, pink hair, long hair, braid, single braid, hair flower, medium breasts, cleavage, collarbone, earrings, hanfu, hagoromo, hanfu",4,31,phrase
"florence nightingale (fate), fate (series), 1girl, red eyes, pink hair, long hair, braid, large breasts, navel",4,3399,phrase
"florence nightingale (santa) (fate), fate/grand order, 1girl, red eyes, pink hair, long hair, braid, large breasts, santa hat, white gloves, red headwear, fur-trimmed sleeves, long sleeves, santa costume, santa costume",4,137,phrase
"florence nightingale (third ascension) (fate), fate (series), 1girl, red eyes, bandage over one eye, pink hair, long hair, large breasts, medium breasts, bandages, military uniform, military uniform, white gloves, red jacket, black coat, coat on shoulders, black skirt, pleated skirt, long sleeves, belt",4,175,phrase
"florence nightingale (trick or treatment) (fate), fate (series), 1girl, red eyes, long hair, pink hair, single braid, large breasts, cleavage, navel, thigh boots, green gloves, shrug (clothing), nurse cap, green bikini, revealing clothes, layered bikini, purple bikini, short sleeves",4,1066,phrase
"florges, pokemon, no humans, 1girl, white skin, blue eyes, white hair, pokemon (creature)",4,116,phrase
"florges (red), pokemon",4,48,phrase
"florian (pokemon), pokemon, 1boy, brown eyes, short hair, brown hair, school uniform, uva academy school uniform, school uniform, collared shirt, hat, uva academy school uniform, white shirt, short sleeves, shota",4,1611,phrase
"florian brand (leonard), identity_v, 1girl",4,24,phrase
"florian brand (puffing), identity_v, 1girl",4,15,phrase
"florida-chan (ryusei hashida), original, 1girl, fang, blue eyes, hair between eyes, blonde hair, medium hair, long hair, ahoge, side ponytail, huge breasts, large breasts, veiny breasts, cleavage, navel, red bikini, skindentation",4,70,phrase
"florina (fire emblem), fire emblem, 1girl, green eyes, long hair, purple hair, parted bangs, fingerless gloves, circlet, breastplate",4,344,phrase
"florine (alchemy stars), alchemy stars, 1girl, grey eyes, hair between eyes, blue eyes, long hair, white hair, grey hair, two side up, hair ornament, small breasts, serafuku, black gloves, serafuku, black thighhighs, grey shirt, white skirt, pleated skirt, black footwear, long sleeves, sailor collar, zettai ryouiki, snake, white neckerchief, loafers, miniskirt",4,32,phrase
"flounder (the little mermaid), the little mermaid",4,49,phrase
"flour (cookie), cookie (touhou), 1girl, white skin, black eyes, blue hair, short hair, long hair, parted bangs, medium breasts, large breasts",4,166,phrase
"flow (splatoon), splatoon (series)",4,33,phrase
"flower (gynoid talk), vocaloid, 1girl, purple eyes, streaked hair, white hair, purple hair, short hair, black hair, medium hair, ahoge, sidelocks, navel, fur-trimmed jacket, purple jacket, purple shirt, crop top, midriff",4,111,phrase
"flower (kowarekake), kowarekake no orgel, 1girl, red eyes, brown eyes, blue hair, long hair, flat chest, headphones",4,41,phrase
"flower (vocaloid), vocaloid, 1girl, purple eyes, streaked hair, white hair, short hair, purple hair, black hair, collarbone, nail polish",4,824,phrase
"flower (vocaloid3), vocaloid, 1girl, purple eyes, long hair, white hair, streaked hair, black hair, purple hair, two-tone hair, ponytail, high ponytail, collarbone, bare shoulders, choker, black nails, nail polish",4,188,phrase
"flower (vocaloid4), vocaloid, 1girl, purple eyes, streaked hair, short hair, white hair, purple hair, black hair, ahoge, collarbone, nail polish",4,590,phrase
"flower fairy (osomatsu-kun), osomatsu-san",4,39,phrase
"flower girl (yuuhagi (amaretto-no-natsu)), original, 1girl, blue eyes, hair between eyes, blonde hair, very long hair, x hair ornament, hairclip, white dress, long sleeves, sleeves past wrists",4,110,phrase
"flowey (undertale), undertale, short hair, brown hair",4,393,phrase
"floyd leech, twisted wonderland, 1boy, heterochromia, sharp teeth, yellow eyes, brown eyes, short hair, blue hair, streaked hair, black hair",4,1165,phrase
"fluorite (arknights), arknights, 1girl, tail, green_hair, solo, bodysuit, black_bodysuit, breasts, green_eyes, hood, gloves, shrug_(clothing), fingerless_gloves, long_hair, ponytail, green_tail, hooded_shrug, snake_tail, medium_breasts",4,616,phrase
"flurry (animal crossing), animal crossing, 1girl, furry female, animal ears, black eyes, long sleeves, hamster girl, hamster",4,57,phrase
"flutter mane, pokemon, no humans, skin fang, yellow eyes, pokemon (creature), red sclera",4,126,phrase
